hhid,netnum,netlong,hpnnet,specifyhpnnet,mnet,specifymnet,nkpnet,specifynkpnet,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
12210512,1,18,Other,The campaign year label on the net got removed but the net is in the house,,,Other,The net is in the house but the campaign year is the one that has gone,1,Vestagaard LLIN Durability Survey,2,475909376,b8e05ca0-bc95-412c-8c72-7cd06319fd39,2025-05-08 10:57:09,,,submitted_via_web,llindurability,v4ycBxKUd7SEpMVknXWEWq,
12210521,1,18,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Being used by family members and its locked in the house ,2,Vestagaard LLIN Durability Survey,3,475909391,4e0cce2b-ba16-4663-98b5-f25366a50bf0,2025-05-08 10:57:10,,,submitted_via_web,llindurability,v4ycBxKUd7SEpMVknXWEWq,
12211105,1,16,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Child went with it to school ,3,Vestagaard LLIN Durability Survey,8,475910393,5fe75503-e848-4094-a8bc-b182a5970350,2025-05-08 10:58:41,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12211105,2,14,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Child went with it to school,4,Vestagaard LLIN Durability Survey,8,475910393,5fe75503-e848-4094-a8bc-b182a5970350,2025-05-08 10:58:41,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12211117,1,15,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Child went with it to school ,5,Vestagaard LLIN Durability Survey,9,475910401,9b90ca85-a964-4e05-a07d-e8a747fc8e2c,2025-05-08 10:58:42,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12211117,2,14,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Child went with it to school ,6,Vestagaard LLIN Durability Survey,9,475910401,9b90ca85-a964-4e05-a07d-e8a747fc8e2c,2025-05-08 10:58:42,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12211114,1,10,Net was given away to relatives,,,,Other,Given to other relative ,7,Vestagaard LLIN Durability Survey,11,475910447,afaa2c8b-b0ac-44b8-b5a8-59d30f3443fb,2025-05-08 10:58:47,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12211113,1,11,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Child with it to school ,8,Vestagaard LLIN Durability Survey,12,475910481,7a280aca-3939-42a5-bc59-1992fb2f0608,2025-05-08 10:58:49,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12211113,2,11,"Used by family members elsewhere (e.g. farm, school)",,,,Other,Child went with it to school ,9,Vestagaard LLIN Durability Survey,12,475910481,7a280aca-3939-42a5-bc59-1992fb2f0608,2025-05-08 10:58:49,,,submitted_via_web,llindurability,vupRbCWxBHapXL9iYfNLMt,
12210511,1,0,Other,Net is at home but the tag has gone off and its looking very old,,,"Net was too torn, too many holes",,10,Vestagaard LLIN Durability Survey,21,476095255,c8cd5f01-a00c-48de-8ffa-7416458aae6f,2025-05-08 15:59:32,,,submitted_via_web,llindurability,vpjEKsNjxLbpWFGNanVwTp,
